"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndfip1",2.61409133309513e-05,0.974205302050297,0.556,0.331,0.785403741028432
"2610204G07Rik",2.79903495322594e-05,3.93389529412947,0.074,0.005,0.840970051696733
"Adm",2.87635328416092e-05,3.74742710051663,0.074,0.005,0.864200344226148
"Dlgap4",2.95777005811464e-05,1.2340598659388,0.259,0.092,0.888662013960543
"Ankrd44",2.97726777115885e-05,0.706113040837647,0.568,0.321,0.894520101844676
"Emp3",3.0172280059427e-05,3.68947977038367,0.074,0.005,0.906526154385485
"Senp7",3.07321431069109e-05,1.02012966351482,0.531,0.292,0.923347239647137
"Pqlc3",3.2392890089709e-05,3.95262932365464,0.074,0.005,0.973244382745305
"Sdc2",3.26935819310843e-05,1.03951691152889,0.481,0.253,0.982278669119428
"Fam184a",3.36285222610449e-05,1.33390040023298,0.37,0.162,1
"Thbs1",3.45369501731801e-05,2.35005835283809,0.136,0.025,1
"Scai",3.58795348086668e-05,1.22537500015395,0.407,0.208,1
"Rb1cc1",3.68027238292236e-05,0.794983027276039,0.704,0.517,1
"Top2b",3.73485486914798e-05,1.0597118986178,0.543,0.339,1
"Ppip5k2",3.88489425349869e-05,1.57874314425009,0.259,0.131,1
"Tram2",3.97266286755299e-05,2.46863611659669,0.136,0.033,1
"Tut4",4.00930845468728e-05,1.01624588692079,0.481,0.251,1
"Gm15866",4.39604758921137e-05,4.59581735971901,0.049,0.002,1
"Col18a1",4.4732234407852e-05,1.54696544198416,0.259,0.089,1
"Gm47416",4.48761301319403e-05,4.90083337019215,0.049,0.001,1
"Ptprj",4.52742519117399e-05,0.643936826607713,0.728,0.491,1
"Dipk2a",4.77212099293735e-05,1.60857297240555,0.086,0.016,1
"Mxd4",4.88129936393399e-05,1.39769629933037,0.247,0.083,1
"Rnf213",4.93203290608228e-05,1.32223050899029,0.321,0.13,1
"Sertad2",5.57522469351328e-05,0.947345461362438,0.457,0.232,1
"Zbtb16",5.9467482390301e-05,0.534675538345652,0.58,0.34,1
"Cuedc1",6.04695329852885e-05,1.55464661256689,0.259,0.091,1
"Capn2",6.28170048326857e-05,1.54836122263229,0.259,0.091,1
"Asxl3",6.34948283303477e-05,1.92388505144338,0.16,0.077,1
"1600022D10Rik",6.36084939924655e-05,3.53014656978323,0.062,0.004,1
"E130307A14Rik",6.38350609936581e-05,1.25508365543101,0.296,0.115,1
"Epn3",6.3908811988409e-05,3.0753207479132,0.099,0.013,1
"Stx1a",6.56054164880886e-05,3.78796299497173,0.074,0.007,1
"Gm20732",6.56393900457385e-05,0.714698050993283,0.642,0.4,1
